sensor,cpp_time_ns,cpp_mem_kb,rust_time_ns,rust_mem_kb,time_diff_ns,faster_time,mem_diff_kb,faster_memory,speedup,Category,Test,Count/Panics,Time (ms),msgs,secs,mps,caught,ms
usb_cache_read,6113600956,0,5847759882,0,265841074,Rust,0,Rust,1.04546,Basic Benchmarks,,,,,,,,
usb_cache_write,6093904883,0,5862112743,0,231792140,Rust,0,Rust,1.03954,Basic Benchmarks,,,,,,,,
led_set,173147,0,4334345,0,-4161198,C++,0,Rust,0.0399477,Basic Benchmarks,,,,,,,,
servo_set_angle,200881,0,3796232,0,-3595351,C++,0,Rust,0.0529159,Basic Benchmarks,,,,,,,,
rf_transmit,1674937,0,2108750,0,-433813,C++,0,Rust,0.79428,Basic Benchmarks,,,,,,,,
button_read,229099,0,469,0,228630,Rust,0,Rust,488.484,Basic Benchmarks,,,,,,,,
pot_read,226346,0,465,0,225881,Rust,0,Rust,486.766,Basic Benchmarks,,,,,,,,
rf_receive,1586547,0,1415928,0,170619,Rust,0,Rust,1.1205,Basic Benchmarks,,,,,,,,
wifi_scan,330021,0,476257,0,-146236,C++,0,Rust,0.692947,Basic Benchmarks,,,,,,,,
volatile_usb_read,43415,0,464,0,42951,Rust,0,Rust,93.5668,Basic Benchmarks,,,,,,,,
volatile_usb_write,43372,0,483,0,42889,Rust,0,Rust,89.7971,Basic Benchmarks,,,,,,,,
,,,,,,,,,,Data-Race & Buffer-Fuzz,C++ Data-Race (Atomic),4000000,31,,,,,
,,,,,,,,,,Data-Race & Buffer-Fuzz,Rust Data-Race (Atomic),4000000,30,,,,,
,,,,,,,,,,Data-Race & Buffer-Fuzz,C++ Data-Race (Mutex),4000000,94,,,,,
,,,,,,,,,,Data-Race & Buffer-Fuzz,Rust Data-Race (Mutex),4000000,64,,,,,
,,,,,,,,,,Data-Race & Buffer-Fuzz,C++ Buffer-Fuzz,47645,111,,,,,
,,,,,,,,,,Data-Race & Buffer-Fuzz,Rust Buffer-Fuzz,45117,202,,,,,
,,,,,,,,,,Network IO / Propagation / Channel Comm,C++ Net IO,,,1000000,11.0192,90750.6,,
,,,,,,,,,,Network IO / Propagation / Channel Comm,Rust Net IO,,,1000000,10.4697,95513.3,,
,,,,,,,,,,Network IO / Propagation / Channel Comm,C++ Exception Propagation,,,,,,10000,17
,,,,,,,,,,Network IO / Propagation / Channel Comm,Rust Panic Propagation,,,,,,10000,32
,,,,,,,,,,Network IO / Propagation / Channel Comm,C++ Channel Comm,,,1000000,0.0428907,2.33151,,
,,,,,,,,,,Network IO / Propagation / Channel Comm,Rust Channel Comm,,,1000000,0.0535168,18685700,,
